CCAA,Fallecidos,Infectados
Andalucía,6,437
Aragón,7,147
Asturias,1,137
Baleares,1,28
C. Valenciana,5,409
Canarias,1,109
Cantabria,0,51
Castilla La Mancha,10,401
Castilla y León,6,292
Cataluña,8,715
Ceuta,0,1
Extremadura,2,95
Galicia,2,195
La Rioja,3,300
Madrid,213,3544
Melilla,0,8
Murcia,0,71
Navarra,0,183
País Vasco,23,630
ESPAÑA,288,7753
