CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,155,236,2671,5405,723,216
Aragón,174,106,1094,2078,220,156
Asturias,78,49,479,1158,70,60
Baleares,100,37,353,1000,42,80
C. Valenciana,185,310,2042,5110,326,336
Canarias,32,40,444,1204,79,84
Cantabria,24,27,481,1100,77,46
Castilla La Mancha,252,622,3134,5858,612,302
Castilla y León,871,442,2540,5801,387,307
Cataluña,4125,1410,11769,16157,1131,1512
Ceuta,0,1,2,25,4,2
Extremadura,60,106,353,1560,104,43
Galicia,168,66,1147,3723,584,134
La Rioja,431,71,517,1733,104,43
Madrid,8301,3392,14917,24090,1413,1460
Melilla,0,1,27,51,3,3
Murcia,17,25,265,939,67,58
Navarra,161,102,955,2146,135,96
País Vasco,1646,297,3427,6057,317,293
ESPAÑA,16780,7340,46617,85195,6398,5231
