CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,71,113,1433,3010,539,116
Aragón,4,40,459,907,149,75
Asturias,35,25,263,779,117,29
Baleares,28,13,164,562,84,40
C. Valenciana,44,143,1071,2616,449,198
Canarias,15,21,235,657,100,43
Cantabria,12,14,241,510,85,18
Castilla La Mancha,71,263,2162,2780,315,210
Castilla y León,213,165,1244,2940,480,170
Cataluña,1274,516,5434,9937,2073,781
Ceuta,0,0,2,9,3,1
Extremadura,8,39,209,742,106,28
Galicia,25,27,412,1653,238,69
La Rioja,43,37,254,928,126,33
Madrid,3031,1825,11153,14597,2245,1150
Melilla,0,0,14,38,10,2
Murcia,4,5,127,477,92,33
Navarra,23,33,506,1197,183,51
País Vasco,466,155,1577,3271,543,119
ESPAÑA,5367,3434,26960,47610,7937,3166
