CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,66,87,1132,2471,510,102
Aragón,3,37,384,758,120,66
Asturias,30,22,224,662,68,23
Baleares,19,10,127,478,78,35
C. Valenciana,37,115,917,2167,266,161
Canarias,8,16,207,557,76,36
Cantabria,12,9,200,425,78,16
Castilla La Mancha,53,216,1825,2465,387,182
Castilla y León,140,124,1057,246,405,137
Cataluña,728,282,3598,7864,1939,551
Ceuta,0,0,0,6,0,0
Extremadura,8,26,161,636,143,20
Galicia,19,20,338,1415,207,55
La Rioja,24,30,206,802,55,24
Madrid,2291,1535,10443,12352,1777,105
Melilla,0,0,12,28,0,1
Murcia,1,3,99,385,40,26
Navarra,11,31,405,1014,128,45
País Vasco,344,133,1425,2728,307,106
ESPAÑA,3794,2696,22760,37459,6584,1691
