CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,798,491,4227,8581,280,489
Aragón,565,284,1637,3347,115,237
Asturias,222,86,846,1646,41,90
Baleares,531,81,683,1320,27,121
C. Valenciana,930,637,1909,7334,150,384
Canarias,157,85,651,1649,27,133
Cantabria,118,77,658,1483,42,65
Castilla La Mancha,1259,1132,2901,10602,571,354
Castilla y León,2533,919,2508,9116,367,348
Cataluña,10088,2760,19143,26824,792,2276
Ceuta,2,3,9,83,0,4
Extremadura,223,228,453,2068,21,66
Galicia,610,190,1916,6151,207,170
La Rioja,964,141,888,2719,127,66
Madrid,17322,5136,14501,38723,1139,1510
Melilla,11,2,38,86,3,3
Murcia,156,68,468,1259,24,81
Navarra,380,187,1432,3231,158,124
País Vasco,3568,548,4794,8810,182,410
ESPAÑA,40437,13055,59662,135032,4273,6931
