Date,doc,CCAA,Infectados,Hospitalizados,UCI,Fallecidos,Curados,Nuevos
2020-03-11,41,Pais Vasco,225,,15.0,6.0,,
2020-03-11,41,La Rioja,179,,1.0,2.0,,
2020-03-12,42,Andalucia,115,,4.0,0.0,,
2020-03-12,42,Aragon,64,,3.0,6.0,,
2020-03-12,42,Asturias,47,,2.0,1.0,,
2020-03-12,42,Baleares,22,,2.0,1.0,,
2020-03-12,42,Canarias,51,,3.0,0.0,,
2020-03-12,42,Cantabria,16,,0.0,0.0,,
2020-03-12,42,Castilla La Mancha,115,,9.0,1.0,,
2020-03-12,42,Castilla y Leon,92,,4.0,0.0,,
2020-03-12,42,Cataluña,260,,0.0,4.0,,
2020-03-12,42,Ceuta,0,,0.0,0.0,,
2020-03-12,42,C. Valenciana,76,,2.0,1.0,,
2020-03-12,42,Extremadura,19,,1.0,1.0,,
2020-03-12,42,Galicia,35,,2.0,0.0,,
2020-03-12,42,Madrid,1388,,135.0,56.0,,
2020-03-12,42,Melilla,0,,0.0,0.0,,
2020-03-12,42,Murcia,26,,1.0,0.0,,
2020-03-12,42,Navarra,73,,3.0,0.0,,
2020-03-12,42,Pais Vasco,346,,18.0,11.0,,
2020-03-12,42,La Rioja,205,,1.0,2.0,,
2020-03-13,43,Andalucia,219,,8.0,0.0,,
2020-03-13,43,Aragon,80,,3.0,7.0,,
2020-03-13,43,Asturias,67,,2.0,1.0,,
2020-03-13,43,Baleares,30,,2.0,1.0,,
2020-03-13,43,Canarias,70,,2.0,0.0,,
2020-03-13,43,Cantabria,29,,0.0,0.0,,
2020-03-13,43,Castilla La Mancha,194,,10.0,5.0,,
2020-03-13,43,Castilla y Leon,169,,8.0,1.0,,
2020-03-13,43,Cataluña,316,,25.0,4.0,,
2020-03-13,43,Ceuta,0,,0.0,0.0,,
2020-03-13,43,C. Valenciana,94,,2.0,1.0,,
2020-03-13,43,Extremadura,39,,1.0,1.0,,
2020-03-13,43,Galicia,85,,2.0,0.0,,
2020-03-13,43,Madrid,1990,,180.0,81.0,,
2020-03-13,43,Melilla,2,,0.0,0.0,,
2020-03-13,43,Murcia,35,,1.0,0.0,,
2020-03-13,43,Navarra,130,,4.0,0.0,,
2020-03-13,43,Pais Vasco,417,,20.0,14.0,,
2020-03-13,43,La Rioja,243,,2.0,2.0,,
2020-03-14,44,Andalucia,269,,,2.0,,
2020-03-14,44,Aragon,80,,,7.0,,
2020-03-14,44,Asturias,92,,,1.0,,
2020-03-14,44,Baleares,28,,,1.0,,
2020-03-14,44,Canarias,90,,,1.0,,
2020-03-14,44,Cantabria,31,,,0.0,,
2020-03-14,44,Castilla La Mancha,289,,,6.0,,
2020-03-14,44,Castilla y Leon,223,,,3.0,,
2020-03-14,44,Cataluña,509,,,6.0,,
2020-03-14,44,Ceuta,0,,,0.0,,
2020-03-14,44,C. Valenciana,130,,,4.0,,
2020-03-14,44,Extremadura,66,,,2.0,,
2020-03-14,44,Galicia,115,,,0.0,,
2020-03-14,44,Madrid,2940,,,86.0,,
2020-03-14,44,Melilla,3,,,0.0,,
2020-03-14,44,Murcia,47,,,0.0,,
2020-03-14,44,Navarra,146,,,0.0,,
2020-03-14,44,Pais Vasco,417,,,14.0,,
2020-03-14,44,La Rioja,278,,,3.0,,
2020-03-15,45,Andalucia,437,,,6.0,,
2020-03-15,45,Aragon,147,,,7.0,,
2020-03-15,45,Asturias,137,,,1.0,,
2020-03-15,45,Baleares,28,,,1.0,,
2020-03-15,45,Canarias,109,,,1.0,,
2020-03-15,45,Cantabria,51,,,0.0,,
2020-03-15,45,Castilla La Mancha,401,,,10.0,,
2020-03-15,45,Castilla y Leon,292,,,6.0,,
2020-03-15,45,Cataluña,715,,,8.0,,
2020-03-15,45,Ceuta,1,,,0.0,,
2020-03-15,45,C. Valenciana,409,,,5.0,,
