CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,139,175.0,2106,4277,484,172
Aragón,8,0.0,835,1592,254,124
Asturias,65,33.0,408,1004,104,50
Baleares,80,26.0,283,862,107,59
C. Valenciana,92,234.0,1694,4034,502,282
Canarias,25,36.0,377,1025,147,68
Cantabria,21,22.0,406,937,127,37
Castilla La Mancha,197,448.0,2977,4512,578,289
Castilla y León,585,321.0,2063,4791,659,249
Cataluña,3106,1070.0,9900,14263,1323,1324
Ceuta,0,1.0,2,17,0,2
Extremadura,49,88.0,312,1394,163,40
Galicia,95,47.0,906,2772,450,112
La Rioja,364,65.0,458,1436,200,43
Madrid,6326,2757.0,14211,21520,2277,1404
Melilla,0,1.0,22,45,3,2
Murcia,12,17.0,231,802,88,58
Navarra,98,70.0,827,1829,188,84
País Vasco,1023,221.0,2612,5136,535,176
ESPAÑA,12285,5632.0,40630,72248,8189,4575
