CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,228,343,3444,6972,580,280
Aragón,320,200,1320,2700,209,178
Asturias,135,69,640,1384,62,79
Baleares,239,58,517,1204,73,105
C. Valenciana,432,443,2189,6308,386,379
Canarias,94,68,566,1444,64,113
Cantabria,60,60,567,1268,55,57
Castilla La Mancha,494,854,3230,7682,635,355
Castilla y León,1498,641,2709,7355,508,353
Cataluña,6917,2093,15489,21804,1813,1855
Ceuta,0,1,7,55,4,3
Extremadura,139,181,412,1837,158,62
Galicia,333,120,1447,4842,410,165
La Rioja,641,101,660,2083,123,57
Madrid,12400,4175,15227,32155,2315,1528
Melilla,0,1,32,62,0,3
Murcia,45,42,389,1084,43,68
Navarra,278,141,1181,2682,185,108
País Vasco,2490,412,4087,7317,479,344
ESPAÑA,26743,10003,54113,110238,8102,6092
